Name,State,Country,Location
University Park,Florida,US,"25.74649 , -80.36755"
Wekiwa Springs,Florida,US,"28.69861 , -81.42563"
Winter Park,Florida,US,"28.6 , -81.33924"
Winter Springs,Florida,US,"28.69889 , -81.30812"
Bell,California,US,"33.97751 , -118.18702"
Bell Gardens,California,US,"33.96529 , -118.15146"
Cudahy,California,US,"33.96057 , -118.18535"
East Los Angeles,California,US,"34.0239 , -118.17202"
Florence-Graham,California,US,"33.96772 , -118.24438"
Huntington Park,California,US,"33.98168 , -118.22507"
Maywood,California,US,"33.98668 , -118.18535"
Montebello,California,US,"34.00946 , -118.10535"
South Gate,California,US,"33.95474 , -118.21202"
West Hollywood,California,US,"34.09001 , -118.36174"
Westmont,California,US,"33.9414 , -118.3023"
Abilene,Texas,US,"32.44874 , -99.73314"
San Angelo,Texas,US,"31.46377 , -100.43704"
Akron,Ohio,US,"41.08144 , -81.51901"
Alliance,Ohio,US,"40.91534 , -81.10593"
Austintown,Ohio,US,"41.10172 , -80.76452"
Barberton,Ohio,US,"41.01283 , -81.60512"
Boardman,Ohio,US,"41.02423 , -80.66285"
Brunswick,Ohio,US,"41.23811 , -81.8418"
North Canton,Ohio,US,"40.87589 , -81.40234"
Cuyahoga Falls,Ohio,US,"41.13394 , -81.48456"
Green,Ohio,US,"40.94589 , -81.48317"
Hudson,Ohio,US,"41.24006 , -81.44067"
Kent,Ohio,US,"41.15367 , -81.35789"
Massillon,Ohio,US,"40.79672 , -81.52151"
Medina,Ohio,US,"41.13839 , -81.86375"
Niles,Ohio,US,"41.18284 , -80.76536"
Stow,Ohio,US,"41.1595 , -81.44039"
Warren,Ohio,US,"41.23756 , -80.81842"
Wooster,Ohio,US,"40.80517 , -81.93646"
Youngstown,Ohio,US,"41.09978 , -80.64952"
Addison,Illinois,US,"41.9317 , -87.98896"
North Aurora,Illinois,US,"41.80614 , -88.3273"
Bartlett,Illinois,US,"41.99503 , -88.18563"
Batavia,Illinois,US,"41.85003 , -88.31257"
Bensenville,Illinois,US,"41.95503 , -87.94007"
Bloomingdale,Illinois,US,"41.95753 , -88.0809"
Bolingbrook,Illinois,US,"41.69864 , -88.0684"
Carol Stream,Illinois,US,"41.91253 , -88.13479"
Darien,Illinois,US,"41.75198 , -87.97395"
Downers Grove,Illinois,US,"41.80892 , -88.01117"
Elmhurst,Illinois,US,"41.89947 , -87.94034"
Glen Ellyn,Illinois,US,"41.87753 , -88.06701"
Glendale Heights,Illinois,US,"41.91031 , -88.07174"
Hanover Park,Illinois,US,"41.99947 , -88.14507"
Lisle,Illinois,US,"41.80114 , -88.07479"
Lombard,Illinois,US,"41.88003 , -88.00784"
Naperville,Illinois,US,"41.78586 , -88.14729"
Roselle,Illinois,US,"41.98475 , -88.07979"
Saint Charles,Illinois,US,"41.91419 , -88.30869"
Streamwood,Illinois,US,"42.02558 , -88.17841"
Villa Park,Illinois,US,"41.88975 , -87.98895"
West Chicago,Illinois,US,"41.88475 , -88.20396"
Westmont,Illinois,US,"41.79586 , -87.97562"
Wheaton,Illinois,US,"41.86614 , -88.10701"
Woodridge,Illinois,US,"41.74697 , -88.05034"
Auburn,Alabama,US,"32.60986 , -85.48078"
Dothan,Alabama,US,"31.22323 , -85.39049"
Enterprise,Alabama,US,"31.31517 , -85.85522"
Montgomery,Alabama,US,"32.36681 , -86.29997"
Opelika,Alabama,US,"32.64541 , -85.37828"
Phenix City,Alabama,US,"32.47098 , -85.00077"
Prattville,Alabama,US,"32.46402 , -86.4597"
Selma,Alabama,US,"32.40736 , -87.0211"
Asheboro,North Carolina,US,"35.70791 , -79.81364"
Burlington,North Carolina,US,"36.09569 , -79.4378"
Greensboro,North Carolina,US,"36.07264 , -79.79198"
High Point,North Carolina,US,"35.95569 , -80.00532"
Winston-Salem,North Carolina,US,"36.09986 , -80.24422"
Lafayette,Louisiana,US,"30.22409 , -92.01984"
Lake Charles,Louisiana,US,"30.21309 , -93.2044"
New Iberia,Louisiana,US,"30.00354 , -91.81873"
Opelousas,Louisiana,US,"30.53353 , -92.08151"
Sulphur,Louisiana,US,"30.23659 , -93.37738"
Arlington,Massachusetts,US,"42.41537 , -71.15644"
Braintree,Massachusetts,US,"42.22232 , -70.99949"
Burlington,Massachusetts,US,"42.50482 , -71.19561"
Dedham,Massachusetts,US,"42.24177 , -71.16616"
Lexington,Massachusetts,US,"42.44732 , -71.2245"
Lynn,Massachusetts,US,"42.46676 , -70.94949"
Malden,Massachusetts,US,"42.4251 , -71.06616"
Marblehead,Massachusetts,US,"42.5001 , -70.85783"
Medford,Massachusetts,US,"42.41843 , -71.10616"
Melrose,Massachusetts,US,"42.45843 , -71.06616"
Needham,Massachusetts,US,"42.28343 , -71.23283"
Norwood,Massachusetts,US,"42.19454 , -71.1995"
Randolph,Massachusetts,US,"42.1626 , -71.04116"
Reading,Massachusetts,US,"42.52565 , -71.09533"
Revere,Massachusetts,US,"42.40843 , -71.01199"
Saugus,Massachusetts,US,"42.46482 , -71.01005"
Stoneham,Massachusetts,US,"42.4801 , -71.0995"
Wakefield,Massachusetts,US,"42.50648 , -71.07283"
Waltham,Massachusetts,US,"42.37649 , -71.23561"
Wellesley,Massachusetts,US,"42.29649 , -71.29256"
Weymouth,Massachusetts,US,"42.22093 , -70.93977"
Winchester,Massachusetts,US,"42.45232 , -71.137"
Woburn,Massachusetts,US,"42.47926 , -71.15228"
Alvin,Texas,US,"29.42385 , -95.2441"
Atascocita,Texas,US,"29.99883 , -95.1766"
Baytown,Texas,US,"29.7355 , -94.97743"
Channelview,Texas,US,"29.77606 , -95.11465"
Cloverleaf,Texas,US,"29.77828 , -95.17188"
Deer Park,Texas,US,"29.70523 , -95.12382"
Friendswood,Texas,US,"29.5294 , -95.20104"
South Houston,Texas,US,"29.66301 , -95.23549"
La Porte,Texas,US,"29.66578 , -95.01937"
League City,Texas,US,"29.50745 , -95.09493"
Mission Bend,Texas,US,"29.69384 , -95.66495"
Missouri City,Texas,US,"29.61857 , -95.53772"
Pasadena,Texas,US,"29.69106 , -95.2091"
Pearland,Texas,US,"29.56357 , -95.28605"
Rosenberg,Texas,US,"29.55718 , -95.80856"
Spring,Texas,US,"30.07994 , -95.41716"
Sugar Land,Texas,US,"29.61968 , -95.63495"
The Woodlands,Texas,US,"30.15799 , -95.48938"
The Bronx,New York,US,"40.84985 , -73.86641"
Brooklyn,New York,US,"40.6501 , -73.94958"
New York City,New York,US,"40.71427 , -74.00597"
Borough of Queens,New York,US,"40.68149 , -73.83652"
Staten Island,New York,US,"40.56233 , -74.13986"
Beverly,Massachusetts,US,"42.55843 , -70.88005"
Chelmsford,Massachusetts,US,"42.59981 , -71.36728"
Danvers,Massachusetts,US,"42.57509 , -70.93005"
Fitchburg,Massachusetts,US,"42.58342 , -71.8023"
Gardner,Massachusetts,US,"42.57509 , -71.99813"
Gloucester,Massachusetts,US,"42.61593 , -70.66199"
Haverhill,Massachusetts,US,"42.7762 , -71.07728"
Lawrence,Massachusetts,US,"42.70704 , -71.16311"
Leominster,Massachusetts,US,"42.52509 , -71.75979"
Lowell,Massachusetts,US,"42.63342 , -71.31617"
Methuen,Massachusetts,US,"42.7262 , -71.19089"
South Peabody,Massachusetts,US,"42.50982 , -70.94949"
Salem,Massachusetts,US,"42.51954 , -70.89672"
Wilmington,Massachusetts,US,"42.54648 , -71.17367"
Gainesville,Florida,US,"29.65163 , -82.32483"
Oakland Park,Florida,US,"26.17231 , -80.13199"
Ocala,Florida,US,"29.1872 , -82.14009"
Spring Hill,Florida,US,"28.47688 , -82.52546"
Bellingham,Washington,US,"48.75955 , -122.48822"
Bremerton,Washington,US,"47.56732 , -122.63264"
Lacey,Washington,US,"47.03426 , -122.82319"
Longview,Washington,US,"46.13817 , -122.93817"
Marysville,Washington,US,"48.05176 , -122.17708"
Mount Vernon,Washington,US,"48.42122 , -122.33405"
Marysville,Washington,US,"48.05176 , -122.17708"
Olympia,Washington,US,"47.03787 , -122.9007"
Vancouver,Washington,US,"45.63873 , -122.66149"
Corpus Christi,Texas,US,"27.80058 , -97.39638"
Kingsville,Texas,US,"27.51587 , -97.85611"
Victoria,Texas,US,"28.80527 , -97.0036"
Bowling Green,Kentucky,US,"36.99032 , -86.4436"
Elizabethtown,Kentucky,US,"37.69395 , -85.85913"
Henderson,Kentucky,US,"37.83615 , -87.59001"
Hopkinsville,Kentucky,US,"36.86561 , -87.49117"
Owensboro,Kentucky,US,"37.77422 , -87.11333"
Paducah,Kentucky,US,"37.08339 , -88.60005"
Radcliff,Kentucky,US,"37.84035 , -85.94913"
American Fork,Utah,US,"40.3769 , -111.79576"
West Bountiful,Utah,US,"40.89383 , -111.90188"
Clearfield,Utah,US,"41.11078 , -112.02605"
Cottonwood Heights,Utah,US,"40.61967 , -111.81021"
Draper,Utah,US,"40.52467 , -111.86382"
East Millcreek,Utah,US,"40.69995 , -111.81049"
Kaysville,Utah,US,"41.03522 , -111.93855"
Kearns,Utah,US,"40.65995 , -111.99633"
Layton,Utah,US,"41.06022 , -111.97105"
Magna,Utah,US,"40.70911 , -112.10161"
Midvale,Utah,US,"40.61106 , -111.89994"
Millcreek,Utah,US,"40.68689 , -111.87549"
Murray,Utah,US,"40.66689 , -111.88799"
South Ogden,Utah,US,"41.19189 , -111.97133"
Orem,Utah,US,"40.2969 , -111.69465"
Pleasant Grove,Utah,US,"40.36412 , -111.73854"
Provo,Utah,US,"40.23384 , -111.65853"
Riverton,Utah,US,"40.52189 , -111.9391"
Roy,Utah,US,"41.16161 , -112.02633"
Salt Lake City,Utah,US,"40.76078 , -111.89105"
Sandy City,Utah,US,"40.59161 , -111.8841"
South Jordan,Utah,US,"40.56217 , -111.92966"
South Salt Lake,Utah,US,"40.71884 , -111.88827"
Spanish Fork,Utah,US,"40.11496 , -111.65492"
Springville,Utah,US,"40.16523 , -111.61075"
Taylorsville,Utah,US,"40.66772 , -111.93883"
West Jordan,Utah,US,"40.60967 , -111.9391"
West Valley City,Utah,US,"40.69161 , -112.00105"
Daytona Beach,Florida,US,"29.21081 , -81.02283"
DeLand,Florida,US,"29.02832 , -81.30312"
Deltona,Florida,US,"28.90054 , -81.26367"
New Smyrna Beach,Florida,US,"29.02582 , -80.927"
Ormond Beach,Florida,US,"29.28581 , -81.05589"
Palm Coast,Florida,US,"29.58497 , -81.20784"
Port Orange,Florida,US,"29.13832 , -80.99561"
Bristol,Rhode Island,US,"41.67705 , -71.26616"
Cranston,Rhode Island,US,"41.77982 , -71.43728"
East Providence,Rhode Island,US,"41.81371 , -71.37005"
Newport East,Rhode Island,US,"41.51579 , -71.28752"
North Providence,Rhode Island,US,"41.8501 , -71.46617"
Pawtucket,Rhode Island,US,"41.87871 , -71.38256"
Providence,Rhode Island,US,"41.82399 , -71.41283"
West Warwick,Rhode Island,US,"41.69689 , -71.52194"
West Warwick,Rhode Island,US,"41.69689 , -71.52194"
Woonsocket,Rhode Island,US,"42.00288 , -71.51478"
Bellevue,Nebraska,US,"41.13667 , -95.89084"
Columbus,Nebraska,US,"41.42973 , -97.36838"
Fremont,Nebraska,US,"41.43333 , -96.49808"
Hastings,Nebraska,US,"40.58612 , -98.38839"
Lincoln,Nebraska,US,"40.8 , -96.66696"
Norfolk,Nebraska,US,"42.02834 , -97.417"
Omaha,Nebraska,US,"41.25861 , -95.93779"
Atlanta,Georgia,US,"33.749 , -84.38798"
Candler-McAfee,Georgia,US,"33.72672 , -84.27246"
College Park,Georgia,US,"33.65344 , -84.44937"
College Park,Georgia,US,"33.65344 , -84.44937"
East Point,Georgia,US,"33.67955 , -84.43937"
Forest Park,Georgia,US,"33.62205 , -84.36909"
Atlanta,Georgia,US,"33.749 , -84.38798"
Sandy Springs,Georgia,US,"33.92427 , -84.37854"
Tucker,Georgia,US,"33.85455 , -84.21714"
Bethany,Oklahoma,US,"35.51867 , -97.63226"
Del City,Oklahoma,US,"35.44201 , -97.44087"
Edmond,Oklahoma,US,"35.65283 , -97.4781"
Midwest City,Oklahoma,US,"35.44951 , -97.3967"
Moore,Oklahoma,US,"35.33951 , -97.4867"
Norman,Oklahoma,US,"35.22257 , -97.43948"
Oklahoma City,Oklahoma,US,"35.46756 , -97.51643"
Shawnee,Oklahoma,US,"35.32729 , -96.9253"
Stillwater,Oklahoma,US,"36.11561 , -97.05837"
Yukon,Oklahoma,US,"35.50672 , -97.76254"
Billings,Montana,US,"45.78329 , -108.50069"
Bozeman,Montana,US,"45.67965 , -111.03856"
Butte,Montana,US,"46.00382 , -112.53474"
Great Falls,Montana,US,"47.50024 , -111.30081"
Helena,Montana,US,"46.59271 , -112.03611"
Missoula,Montana,US,"46.87215 , -113.994"
Altamonte Springs,Florida,US,"28.66111 , -81.36562"
South Apopka,Florida,US,"28.66194 , -81.50952"
Casselberry,Florida,US,"28.67778 , -81.32785"
Kissimmee,Florida,US,"28.30468 , -81.41667"
Oak Ridge,Florida,US,"28.47112 , -81.42452"
Ocoee,Florida,US,"28.56917 , -81.54396"
Orlando,Florida,US,"28.53834 , -81.37924"
Oviedo,Florida,US,"28.67 , -81.20812"
Pine Hills,Florida,US,"28.55778 , -81.4534"
Sanford,Florida,US,"28.80055 , -81.27312"
Saint Cloud,Florida,US,"28.2489 , -81.28118"
University Park,Florida,US,"25.74649 , -80.36755"
Wekiwa Springs,Florida,US,"28.69861 , -81.42563"
Winter Park,Florida,US,"28.6 , -81.33924"
Winter Springs,Florida,US,"28.69889 , -81.30812"
Campbell,California,US,"37.28717 , -121.94996"
Gilroy,California,US,"37.00578 , -121.56828"
Los Gatos,California,US,"37.22661 , -121.97468"
Milpitas,California,US,"37.42827 , -121.90662"
Morgan Hill,California,US,"37.1305 , -121.65439"
San Jose,California,US,"37.33939 , -121.89496"
Santa Clara,California,US,"37.35411 , -121.95524"
Saratoga,California,US,"37.26383 , -122.02301"
Sunnyvale,California,US,"37.36883 , -122.03635"
Beaumont,Texas,US,"30.08605 , -94.10185"
Galveston,Texas,US,"29.30135 , -94.7977"
Port Arthur,Texas,US,"29.88519 , -93.94233"
Texas City,Texas,US,"29.38385 , -94.9027"
Annapolis,Maryland,US,"38.97845 , -76.49218"
Arbutus,Maryland,US,"39.25455 , -76.69997"
Arnold,Maryland,US,"39.03206 , -76.50274"
Baltimore,Maryland,US,"39.29038 , -76.61219"
Bel Air North,Maryland,US,"39.55429 , -76.37309"
Bel Air South,Maryland,US,"39.50506 , -76.31977"
Carney,Maryland,US,"39.39427 , -76.52358"
Catonsville,Maryland,US,"39.27205 , -76.73192"
Columbia,Maryland,US,"39.24038 , -76.83942"
Crofton,Maryland,US,"39.00178 , -76.68747"
Dundalk,Maryland,US,"39.25066 , -76.52052"
Edgewood,Maryland,US,"39.41872 , -76.2944"
Eldersburg,Maryland,US,"39.40371 , -76.95026"
West Elkridge,Maryland,US,"39.20705 , -76.72692"
Ellicott City,Maryland,US,"39.26733 , -76.79831"
Essex,Maryland,US,"39.30927 , -76.47496"
Glen Burnie,Maryland,US,"39.16261 , -76.62469"
Lochearn,Maryland,US,"39.34066 , -76.72219"
Middle River,Maryland,US,"39.33427 , -76.43941"
Milford Mill,Maryland,US,"39.34788 , -76.76997"
Odenton,Maryland,US,"39.084 , -76.70025"
Parkville,Maryland,US,"39.37733 , -76.53969"
Perry Hall,Maryland,US,"39.41261 , -76.46357"
Pikesville,Maryland,US,"39.37427 , -76.72247"
Randallstown,Maryland,US,"39.36733 , -76.79525"
Reisterstown,Maryland,US,"39.46976 , -76.8319"
Salisbury,Maryland,US,"38.36067 , -75.59937"
Severn,Maryland,US,"39.13705 , -76.6983"
Severna Park,Maryland,US,"39.07039 , -76.54524"
South Gate,Maryland,US,"39.129 , -76.6258"
Towson,Maryland,US,"39.4015 , -76.60191"
Bethel Park,Pennsylvania,US,"40.32757 , -80.0395"
McKeesport,Pennsylvania,US,"40.34785 , -79.86422"
Mount Lebanon,Pennsylvania,US,"40.35535 , -80.0495"
Monroeville,Pennsylvania,US,"40.42118 , -79.7881"
Penn Hills,Pennsylvania,US,"40.50118 , -79.83922"
Pittsburgh,Pennsylvania,US,"40.44062 , -79.99589"
Plum,Pennsylvania,US,"40.50035 , -79.74949"
Upper Saint Clair,Pennsylvania,US,"40.3359 , -80.08339"
West Mifflin,Pennsylvania,US,"40.3634 , -79.86644"
Agawam,Massachusetts,US,"42.06954 , -72.61481"
North Chicopee,Massachusetts,US,"42.18343 , -72.59953"
Holyoke,Massachusetts,US,"42.20426 , -72.6162"
Northampton,Massachusetts,US,"42.32509 , -72.6412"
Pittsfield,Massachusetts,US,"42.45008 , -73.24538"
West Springfield,Massachusetts,US,"42.10704 , -72.62037"
West Springfield,Massachusetts,US,"42.10704 , -72.62037"
Westfield,Massachusetts,US,"42.12509 , -72.74954"
Franklin,Wisconsin,US,"42.88863 , -88.03842"
Greenfield,Wisconsin,US,"42.9614 , -88.01259"
South Milwaukee,Wisconsin,US,"42.91057 , -87.86064"
Oak Creek,Wisconsin,US,"42.88585 , -87.86314"
South Milwaukee,Wisconsin,US,"42.91057 , -87.86064"
Wauwatosa,Wisconsin,US,"43.04946 , -88.00759"
West Allis,Wisconsin,US,"43.01668 , -88.00703"
Novato,California,US,"38.10742 , -122.5697"
San Anselmo,California,US,"37.97465 , -122.56164"
South San Francisco,California,US,"37.65466 , -122.40775"
San Rafael,California,US,"37.97353 , -122.53109"
Joplin,Missouri,US,"37.08423 , -94.51328"
Springfield,Missouri,US,"37.21533 , -93.29824"
Ashland,Ohio,US,"40.86867 , -82.31822"
Bowling Green,Ohio,US,"41.37477 , -83.65132"
Findlay,Ohio,US,"41.04422 , -83.64993"
Lima,Ohio,US,"40.74255 , -84.10523"
Mansfield,Ohio,US,"40.75839 , -82.51545"
Sandusky,Ohio,US,"41.44894 , -82.70796"
Toledo,Ohio,US,"41.66394 , -83.55521"
Bristol,Tennessee,US,"36.59511 , -82.18874"
East Chattanooga,Tennessee,US,"35.06535 , -85.24912"
South Cleveland,Tennessee,US,"35.14119 , -84.87217"
East Ridge,Tennessee,US,"35.01424 , -85.2519"
Johnson City,Tennessee,US,"36.31344 , -82.35347"
Kingsport,Tennessee,US,"36.54843 , -82.56182"
Morristown,Tennessee,US,"36.21398 , -83.29489"
Beverly Hills,California,US,"34.07362 , -118.40036"
West Carson,California,US,"33.82168 , -118.29257"
Culver City,California,US,"34.02112 , -118.39647"
Gardena,California,US,"33.88835 , -118.30896"
Hawthorne,California,US,"33.9164 , -118.35257"
Inglewood,California,US,"33.96168 , -118.35313"
Lawndale,California,US,"33.88724 , -118.35257"
Lennox,California,US,"33.93807 , -118.35258"
Lomita,California,US,"33.79224 , -118.31507"
Lynwood,California,US,"33.93029 , -118.21146"
Manhattan Beach,California,US,"33.88474 , -118.41091"
Rancho Palos Verdes,California,US,"33.74446 , -118.38702"
Redondo Beach,California,US,"33.84918 , -118.38841"
Santa Monica,California,US,"34.01945 , -118.49119"
Torrance,California,US,"33.83585 , -118.34063"
West Carson,California,US,"33.82168 , -118.29257"
Bellevue,Washington,US,"47.61038 , -122.20068"
Bothell,Washington,US,"47.76232 , -122.2054"
Fairwood,Washington,US,"47.76684 , -117.41744"
Cottage Lake,Washington,US,"47.74427 , -122.07735"
Edmonds,Washington,US,"47.81065 , -122.37736"
Everett,Washington,US,"47.97898 , -122.20208"
Inglewood-Finn Hill,Washington,US,"47.72049 , -122.23167"
Kirkland,Washington,US,"47.68149 , -122.20874"
Lynnwood,Washington,US,"47.82093 , -122.31513"
Mountlake Terrace,Washington,US,"47.78815 , -122.30874"
North Creek,Washington,US,"47.81954 , -122.17624"
Redmond,Washington,US,"47.67399 , -122.12151"
Renton,Washington,US,"47.48288 , -122.21707"
City of Sammamish,Washington,US,"47.60444 , -122.03768"
Big Spring,Texas,US,"32.2504 , -101.47874"
Midland,Texas,US,"31.99735 , -102.07791"
West Odessa,Texas,US,"31.84235 , -102.49876"
Charlottesville,Virginia,US,"38.02931 , -78.47668"
Danville,Virginia,US,"36.58597 , -79.39502"
West Lynchburg,Virginia,US,"37.4032 , -79.17808"
Cedar City,Utah,US,"37.67748 , -113.06189"
North Logan,Utah,US,"41.76937 , -111.80467"
Saint George,Utah,US,"37.10415 , -113.58412"
Tooele,Utah,US,"40.53078 , -112.29828"
Ashtabula,Ohio,US,"41.86505 , -80.78981"
Eastlake,Ohio,US,"41.65394 , -81.45039"
Elyria,Ohio,US,"41.36838 , -82.10765"
Lorain,Ohio,US,"41.45282 , -82.18237"
Mentor,Ohio,US,"41.66616 , -81.33955"
North Olmsted,Ohio,US,"41.4156 , -81.92347"
North Ridgeville,Ohio,US,"41.38949 , -82.01903"
North Royalton,Ohio,US,"41.31366 , -81.72457"
Parma,Ohio,US,"41.40477 , -81.72291"
Parma Heights,Ohio,US,"41.39005 , -81.75958"
Rocky River,Ohio,US,"41.4756 , -81.8393"
Solon,Ohio,US,"41.38978 , -81.44123"
Strongsville,Ohio,US,"41.3145 , -81.83569"
Westlake,Ohio,US,"41.45532 , -81.91792"
Willoughby,Ohio,US,"41.63977 , -81.4065"
La Quinta,California,US,"33.66336 , -116.31001"
Oceanside,California,US,"33.19587 , -117.37948"
Palm Desert,California,US,"33.72255 , -116.37697"
Palm Springs,California,US,"33.8303 , -116.54529"
Ridgecrest,California,US,"35.62246 , -117.6709"
San Marcos,California,US,"33.14337 , -117.16614"
Victorville,California,US,"34.53611 , -117.29116"
Vista,California,US,"33.20004 , -117.24254"
Apple Valley,California,US,"34.50083 , -117.18588"
Barstow,California,US,"34.89859 , -117.02282"
Brawley,California,US,"32.97866 , -115.53027"
Calexico,California,US,"32.67895 , -115.49888"
Carlsbad,California,US,"33.15809 , -117.35059"
Cathedral City,California,US,"33.77974 , -116.46529"
Coachella,California,US,"33.6803 , -116.17389"
El Centro,California,US,"32.792 , -115.56305"
Encinitas,California,US,"33.03699 , -117.29198"
Escondido,California,US,"33.11921 , -117.08642"
Fallbrook,California,US,"33.37642 , -117.25115"
Hesperia,California,US,"34.42639 , -117.30088"
Indio,California,US,"33.7207 , -116.21677"
Annapolis,Maryland,US,"38.97845 , -76.49218"
Arbutus,Maryland,US,"39.25455 , -76.69997"
Arnold,Maryland,US,"39.03206 , -76.50274"
Baltimore,Maryland,US,"39.29038 , -76.61219"
Bel Air North,Maryland,US,"39.55429 , -76.37309"
Bel Air South,Maryland,US,"39.50506 , -76.31977"
Carney,Maryland,US,"39.39427 , -76.52358"
Catonsville,Maryland,US,"39.27205 , -76.73192"
Columbia,Maryland,US,"39.24038 , -76.83942"
Crofton,Maryland,US,"39.00178 , -76.68747"
Dundalk,Maryland,US,"39.25066 , -76.52052"
Edgewood,Maryland,US,"39.41872 , -76.2944"
Eldersburg,Maryland,US,"39.40371 , -76.95026"
West Elkridge,Maryland,US,"39.20705 , -76.72692"
Ellicott City,Maryland,US,"39.26733 , -76.79831"
Essex,Maryland,US,"39.30927 , -76.47496"
Glen Burnie,Maryland,US,"39.16261 , -76.62469"
Lochearn,Maryland,US,"39.34066 , -76.72219"
Middle River,Maryland,US,"39.33427 , -76.43941"
Milford Mill,Maryland,US,"39.34788 , -76.76997"
Odenton,Maryland,US,"39.084 , -76.70025"
Parkville,Maryland,US,"39.37733 , -76.53969"
Perry Hall,Maryland,US,"39.41261 , -76.46357"
Pikesville,Maryland,US,"39.37427 , -76.72247"
Randallstown,Maryland,US,"39.36733 , -76.79525"
Reisterstown,Maryland,US,"39.46976 , -76.8319"
Salisbury,Maryland,US,"38.36067 , -75.59937"
Severn,Maryland,US,"39.13705 , -76.6983"
Severna Park,Maryland,US,"39.07039 , -76.54524"
South Gate,Maryland,US,"39.129 , -76.6258"
Towson,Maryland,US,"39.4015 , -76.60191"
Albany,Oregon,US,"44.63651 , -123.10593"
North Bend,Oregon,US,"43.4065 , -124.22428"
Corvallis,Oregon,US,"44.56457 , -123.26204"
Gresham,Oregon,US,"45.49818 , -122.43148"
Grants Pass,Oregon,US,"42.43933 , -123.33067"
Medford,Oregon,US,"42.32652 , -122.87559"
Roseburg North,Oregon,US,"43.26452 , -123.30331"
Springfield,Oregon,US,"44.04624 , -123.02203"
Allen,Texas,US,"33.10317 , -96.67055"
Carrollton,Texas,US,"32.95373 , -96.89028"
Cedar Hill,Texas,US,"32.58847 , -96.95612"
Coppell,Texas,US,"32.95457 , -97.01501"
Dallas,Texas,US,"32.78306 , -96.80667"
DeSoto,Texas,US,"32.58986 , -96.85695"
Duncanville,Texas,US,"32.6518 , -96.90834"
Farmers Branch,Texas,US,"32.92651 , -96.89612"
Flower Mound,Texas,US,"33.01457 , -97.09696"
Frisco,Texas,US,"33.15067 , -96.82361"
Garland,Texas,US,"32.91262 , -96.63888"
Grand Prairie,Texas,US,"32.74596 , -96.99778"
Irving,Texas,US,"32.81402 , -96.94889"
Lancaster,Texas,US,"32.59208 , -96.75611"
Lewisville,Texas,US,"33.04623 , -96.99417"
McKinney,Texas,US,"33.19762 , -96.61527"
Mesquite,Texas,US,"32.7668 , -96.59916"
Plano,Texas,US,"33.01984 , -96.69889"
Richardson,Texas,US,"32.94818 , -96.72972"
Rowlett,Texas,US,"32.9029 , -96.56388"
The Colony,Texas,US,"33.08901 , -96.88639"
University Park,Texas,US,"32.85013 , -96.80028"
Waxahachie,Texas,US,"32.38653 , -96.84833"
Macon,Georgia,US,"32.84069 , -83.6324"
Warner Robins,Georgia,US,"32.62098 , -83.5999"
Fayetteville,Arkansas,US,"36.06258 , -94.15743"
Fort Smith,Arkansas,US,"35.38592 , -94.39855"
Rogers,Arkansas,US,"36.33202 , -94.11854"
Russellville,Arkansas,US,"35.27842 , -93.13379"
Springdale,Arkansas,US,"36.18674 , -94.12881"
Apache Junction,Arizona,US,"33.41505 , -111.54958"
Chandler,Arizona,US,"33.30616 , -111.84125"
Fountain Hills,Arizona,US,"33.61171 , -111.71736"
Gilbert,Arizona,US,"33.35283 , -111.78903"
Mesa,Arizona,US,"33.41253 , -111.83189"
Scottsdale,Arizona,US,"33.50921 , -111.89903"
Tempe,Arizona,US,"33.41477 , -111.90931"
Allentown,Pennsylvania,US,"40.60843 , -75.49018"
Bethlehem,Pennsylvania,US,"40.62593 , -75.37046"
West Chester,Pennsylvania,US,"39.96097 , -75.60804"
Drexel Hill,Pennsylvania,US,"39.94706 , -75.29213"
Easton,Pennsylvania,US,"40.68843 , -75.22073"
Norristown,Pennsylvania,US,"40.1215 , -75.3399"
Pottstown,Pennsylvania,US,"40.24537 , -75.64963"
Radnor,Pennsylvania,US,"40.04622 , -75.35991"
Reading,Pennsylvania,US,"40.33565 , -75.92687"
Springfield,Pennsylvania,US,"39.93067 , -75.32019"
Benton,Arkansas,US,"34.56454 , -92.58683"
Conway,Arkansas,US,"35.0887 , -92.4421"
Hot Springs,Arkansas,US,"34.5037 , -93.05518"
Jacksonville,Arkansas,US,"34.8662 , -92.11015"
North Little Rock,Arkansas,US,"34.76954 , -92.26709"
North Little Rock,Arkansas,US,"34.76954 , -92.26709"
Sherwood,Arkansas,US,"34.81509 , -92.22432"
Frankfort,Kentucky,US,"38.20091 , -84.87328"
Louisville,Kentucky,US,"38.25424 , -85.75941"
Aloha,Oregon,US,"45.49428 , -122.86705"
Beaverton,Oregon,US,"45.48706 , -122.80371"
Gresham,Oregon,US,"45.49818 , -122.43148"
Hillsboro,Oregon,US,"45.52289 , -122.98983"
Keizer,Oregon,US,"44.99012 , -123.02621"
Lake Oswego,Oregon,US,"45.42067 , -122.67065"
McMinnville,Oregon,US,"45.21012 , -123.19872"
Milwaukie,Oregon,US,"45.44623 , -122.63926"
Oregon City,Oregon,US,"45.35734 , -122.60676"
Portland,Oregon,US,"45.52345 , -122.67621"
Salem,Oregon,US,"44.9429 , -123.0351"
Tigard,Oregon,US,"45.43123 , -122.77149"
